Category,Name,Price (INR),Discount (%),Rating,Sold By
ref=zg_bs_nav_kitchen_0,Orient Electric Areva Portable Room Heater | 2000W | Two Heating Modes | Advanced Overheat Protection | Horizontal & Vertical Mount | 1-year replacement warranty by Orient | White,1499.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Orpat OEH-1220 2000-Watt Fan Heater (White),1249.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Amazon Brand - Presto! Garbage Bags Medium 180 Count|19 x 21 inches Black , For Dry & Wet waste|30 bags/roll (Pack of 6)",326.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Amazon Brand - Solimo 2000/1000 Watts Room Heater with Adjustable Thermostat (ISI certified, White colour, Ideal for small to medium room/area)",999.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,One94Store 3D Deer Crystal Globe Lamp Creative Engraved Crystal Ball Night Light USB Table LED Wooden Crystal Ball for Home Office Decoration Birthday Gift Adults (Deer 6cm)(Warm White),299.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"ATOM Digital Kitchen Food Weighing Scale For Healthy Living, Home Baking, Cooking, Fitness & Balanced Diet. | 1 Year Warranty | 10Kg x 1gms with 2 Batteries Included, SF400/A121, Color May vary",199.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. (Silver)",599.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"AGARO Elite Lint Remover With Power Cord for Woollen Sweaters, Blankets, Jackets/Burr Remover Pill Remover from Carpets, Curtains",379.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Ezee Black Garbage Bags for Dustbin | 90 Pcs | Medium 19 X 21 Inches | 30 Pcs x Pack of 3,159.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Zulaxy Photo Frame Hooks for Wall Without Drilling, 10 Pack Self Adhesive Hooks for Wall Heavy Duty Strong Nail Free for Hanging Photo Frame (Hanging Hook, Transparent) Stainless Steel",274.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"MILTON Aura 1000 Thermosteel Bottle, 1050 ml Water Bottles, 24 Hours Hot and Cold, Easy to Carry, Easy Grip, Rust Proof, Tea, Coffee, Office, Travel Bottle, Black",932.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Milton Thermosteel Flip Lid Flask, 1000 milliliters, Silver",964.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,"Orient Electric Stark Quartz Room Heater | 800 W Low Power Consumption | Tip-over Protection | 2 Heating Rods for Quick Heating | Cool Touch Body | 1 Year Warranty, White",1079.00,33.33,Not Available,Not Available
ref=zg_bs_nav_kitchen_0,Indian Karigar Santa Cap Plush Fur Christmas Cap Unisex Santa Hat for Adult & Kids Comfortable Soft Free Size Santa Clause Hat Cap Christmas Decorations Items Christmas Decor Santa Caps Set of 1 Red,179.00,33.33,Not Available,Not Available
